ExperimentID,Birds,ActiveFlowers,NectarCollected,FlowersDepleted,DurationSeconds,CrowdingDistance,CrowdingEvents,CrowdingPairTime,CrowdingRatio,MaxSimultaneousCrowdedPairs
5B_20F,5,20,20.0004,20,80.38,0.5,10,169.6,0.211,4
5B_15F,5,15,15.0003,15,63.38,0.5,20,168.01,0.2651,10
5B_10F,5,10,10.0001,10,66.33,0.5,21,208.73,0.3147,10
5B_05F,5,5,5.0,5,26.36,0.5,5,50.01,0.1897,4
